新人シャンソン歌手の新春シャンソンショー,しんじん しゃんそん かしゅの しんしゅん しゃんそん しょー
坊主が屏風に上手に坊主の絵を描いた,ぼうずが びょうぶに じょうずに ぼうずの えを かいた
肩固かったから買った肩叩き機肩叩きにくかった,かた かたかったから かった かたたたきき かた たたきにくかった
少々時期尚早の訴訟で勝訴,しょうしょう じきしょうそう の そしょうで しょうそ
駒込のわがままもの中野の怠け者,こまごめの わがままもの なかのの なまけもの
マグマ大使のママ ママ・マグマ大使,マグマたいしのママ ママ・マグマたいし
隣の竹やぶに竹立てかけたの誰だ,となりの たけやぶに たけ たてかけたの だれだ
お綾や、お湯屋に行くと八百屋にお言い,おあやや、おゆやに いくと やおやに おいい
# きつい時期 傷付きつつも 危機突き破る絆あり,きつい じき きずつき つつも きき つきやぶる きずなあり
会うより今愛あるのは会わないで言う愛してる,あうより いま あいあるのは あわないでいう あいしてる
# 向こうの赤壁に赤蛙がかき上がって三かき上がる,むこうの あかかべに あかがえるが かきあがって みかきあがる
# 第一著者 第二著者 第三著者,だいいち ちょしゃ だいに ちょしゃ だいさん ちょしゃ
議論好きの議員が議事堂にぎっしり,ぎろんすきの ぎいんが ぎじどうに ぎっしり
# 蝦夷で暮らすも一生 江戸で暮らすも一生,えぞで くらすも いっしょう えどで くらすも いっしょう
ある日昼 ニヒルなあひる ヒルにひるんだ,あるひ ひる ニヒルな あひる ヒルに ひるんだ
油アルバム 油アルバム 油アルバム,あぶらアルバム あぶらアルバム あぶらアルバム
神アニメ 神アニメ 神アニメ,かみアニメ かみアニメ かみアニメ
# 22通中20通,にじゅう につう ちゅう にじゅっ つう
よぼよぼ病 よぼよぼ病 よぼよぼ病,よぼよぼびょう よぼよぼびょう よぼよぼびょう
信長殿も信長殿なら、ねね殿もねね殿じゃ,のぶながどのも のぶながどのなら、ねねどのも ねねどのじゃ
# 菊栗菊栗三菊栗、合わせて菊栗六菊栗,きく くり きく くり み きく くり、あわせて きく くり む きく くり
すももも桃も、もう熟れたから、もう売れよ,すももも ももも もううれたから もううれよ
# 赤アロエ飴 青アロエ飴 黄アロエ飴,あかあろえあめ あおあろえあめ きあろえあめ
左折車専用車線、右折車が逆走,させつしゃ せんよう しゃせん、うせつしゃ が ぎゃくそう
ブスバスガイド、バスガス爆発,ブス バス ガイド、バス ガスばくはつ
右目右耳 右耳右目,みぎめ みぎみみ みぎみみ みぎめ
パジェロ全車種に標準装備,パジェロ ぜんしゃしゅに ひょうじゅん そうび
可逆反応も不可逆反応も化学反応,かぎゃく はんのうも ふかぎゃく はんのうも かがく はんのう
赤万景峰号 青万景峰号 黄万景峰号,あかまんぎょんぼんごう あおまんぎょんぼんごう きまんぎょんぼんごう
学校 急遽 休校 家で自習 超集中 長州力, がっこう きゅうきょ きゅうこう いえでじしゅう ちょう しゅうちゅう ちょうしゅうりき
東京特許許可局局長、今日急遽許可却下,とうきょう とっきょ きょかきょく きょくちょう、きょう きゅうきょ きょか きゃっか
# 社長 支社長 司書室長,しゃちょう ししゃちょう ししょしつちょう
打者 走者 勝者 走者一掃,だしゃ そうしゃ しょうしゃ そうしゃいっそう
